GENERIC NAME,BRAND NAME
"AMINO ACIDS 5%+D20W/no LYTES 1,000 ML BAG",TRAVASOL 5%/D20W QUICKMIX
AMINO ACIDS 5%+D20W+LYTES 1000 ML DUPLEX BAG,TRAVASOL 5%/D20W CLINIMIX
AMINO ACIDS 5%+D25W/no LYTES 1000 ML DUPLEX BAG,TRAVASOL 5%/D25W QUICKMIX
"AMINO ACIDS 5%+D25W/no LYTES 2,000 ML BAG",TRAVASOL 5%/D25W CLINIMIX
AMINO ACIDS 5%+D25W+LYTES 1000 ML DUPLEX BAG,TRAVASOL 5%/D25W CLINIMIX
AMINO ACIDS 5%+D25W+LYTES 2000 ML DUPLEX BAG,TRAVASOL 5%/D25W CLINIMIX
AMINO ACIDS 5%+D5W/no LYTES 1000 ML BAG,TRAVASOL 5%/D5W QUICKMIX
"AMINO ACIDS 6%+D20W/no LYTES 2,000 ML BAG",Travasol 6%/D20W
AMINO ACIDS 7%+LYTES INJ 1000 ML BTL,VAMIN N (1000 ML)
AMINO ACIDS 8.5%/no LYTES 500 ML BAG,TRAVASOL
AMINO ACIDS 8.5%+D20W 1:1 1000 ML,TRAVASOL 8.5%/D20W
AMINO ACIDS 8.5%+D50W 1:1 1000 ML,TRAVASOL 8.5%/D50W
AMINOLEVULINIC ACID 20% POWDER,LEVULAN KERASTICK
AMINOPHYLLINE INJ 25 MG/ML 20 ML AMP,AMINOPHYLLINE
AMINOPHYLLINE INJ 50 MG/ML 10 ML AMP,AMINOPHYLLINE
AMINOPHYLLINE IV 50 MG/ML 500 ML BAG,
AMINOSYN-PF [A] NEONATAL TPN 300 ML BAG,
AMINOSYN-PF [B] NEONATAL TPN 300 ML BAG,
AMINOSYN-PF [C] NEONATAL TPN 200 ML BAG,
AMIODARONE 200 MG TAB,CORDARONE
AMIODARONE INJ 50 MG/ML 6 ML VIAL,CORDARONE
AMITRIPTYLINE 10 MG TAB,ELAVIL
AMITRIPTYLINE 25 MG TAB,ELAVIL
AMITRIPTYLINE 50 MG TAB,ELAVIL
AMITRIPTYLINE 75 MG TAB,ELAVIL
AMLODIPINE 10 MG TAB,NORVASC
AMLODIPINE 2.5 MG TAB,NORVASC
AMLODIPINE 5 MG TAB,NORVASC
AMOXICILLIN 250 MG CAP,AMOXIL
AMOXICILLIN 500 MG CAP,AMOXIL
AMOXICILLIN SUSP 125 MG/5 ML 100 ML BTL,AMOXIL
AMOXICILLIN SUSP 125 MG/5 ML w/o SUGAR 100 ML BTL,NOVAMOXIN
AMOXICILLIN SUSP 250 MG/5 ML 100 ML BTL,AMOXIL
AMOXICILLIN SUSP 250 MG/5 ML w/o SUGAR 100 ML BTL,NOVAMOXIN
AMOXICILLIN+CLAVULANATE 250/125 MG TAB,CLAVULIN-250
AMOXICILLIN+CLAVULANATE 500/125 MG TAB,CLAVULIN-500F
AMOXICILLIN+CLAVULANATE 875/125 MG TAB,CLAVULIN-875
AMOXICILLIN+CLAVULANATE SUSP 125+31.25 MG/5 ML 100 ML B,CLAVULIN-125F
AMOXICILLIN+CLAVULANATE SUSP 200+28.5 MG/5 ML 70 ML BTL,CLAVULIN-200
AMOXICILLIN+CLAVULANATE SUSP 250+62.5 MG/5 ML 100 ML BT,CLAVULIN-250F
AMOXICILLIN+CLAVULANATE SUSP 400+57 MG/5 ML 70 ML BTL,CLAVULIN-400
AMPHETAMINE+DEXTROAMPHETAMINE SR 10 MG CAP,ADDERALL XR
AMPHETAMINE+DEXTROAMPHETAMINE SR 30 MG CAP,ADDERALL XR
AMPHETAMINE+DEXTROAMPHETAMINE SR 5 MG CAP,ADDERALL XR
AMPHOTERICIN B DILUTE INJ 0.1 MG/ML 20 ML VIAL,FUNGIZONE
AMPHOTERICIN B INJ 50 MG VIAL,FUNGIZONE
AMPHOTERICIN B LIPID COMPLEX INJ 5 MG/ML 20 ML VIAL,ABELCET
AMPHOTERICIN B LIPOSOMAL INJ 50 MG VIAL,AMBISOME
AMPHOTERICIN B POWDER 25 GM BTL,
AMPICILLIN INJ 1000 MG VIAL,AMPICIN
AMPICILLIN INJ 2000 MG VIAL,AMPICIN
AMPICILLIN INJ 250 MG VIAL,AMPICIN
AMPICILLIN INJ 500 MG VIAL,AMPICIN
AMPICILLIN IV 1000 MG/50 ML NS MB.PLUS,AMPICIN
AMPICILLIN IV 2000 MG/100 ML NS MB.PLUS,AMPICIN
AMPICILLIN IV 250 MG/50 ML NS MB.PLUS,AMPICIN
AMPICILLIN IV 500 MG/50 ML NS MB.PLUS,AMPICIN
AMSACRINE INJ 50 MG/ML 1.5 ML AMP,AMSA PD
ANAGRELIDE 0.5 MG CAP,AGRYLIN
ANASTROZOLE 1 MG TAB,ARIMIDEX
ANASTROZOLE 1 MG TAB,ARIMIDEX
ANTHRALIN POWDER 5 GM BTL,
"ANTIVENIN, BLACK WIDOW SPIDER INJ 6000 UNITS VIAL",ANTIVENOM
APRACLONIDINE 0.5% EYE DROPS 5 ML BTL,IOPIDINE
APREPITANT 80 MG CAP,EMEND
AQUEOUS CREAM 454 GM JAR,
ARGININE HCL 250 MG/ML  30 ML VIAL,L-ARGININE
ARGININE POWDER 100 GM BTL,L-ARGININE
"ASCORBIC ACID 1,000 MG TAB",VITAMIN C
ASCORBIC ACID 100 MG TAB,VITAMIN C
ASCORBIC ACID 250 MG CHEW TAB,VITAMIN C
ASCORBIC ACID 250 MG TAB,VITAMIN C
ASCORBIC ACID 500 MG CHEW TAB,VITAMIN C
ASCORBIC ACID 500 MG TAB,VITAMIN C
ASCORBIC ACID INJ 250 MG/ML 2 ML AMP,VITAMIN C
ASCORBIC ACID INJ 500 MG/ML 50 ML VIAL,VITAMIN C
ASPARAGINASE PEG INJ 750 UNITS/ML 5 ML VIAL,ONCASPAR
"ASPARAGINASE-ERWINIA INJ 10,000 UNITS VIAL",ERWINASE
ASPERGILLUS SKIN TEST INJ 5 ML VIAL,ASPERGILLUS SKIN TEST
ATAZANAVIR 150 MG CAP,REYATAZ
ATAZANAVIR 200 MG CAP,REYATAZ
ATAZANAVIR 300 MG CAP,REYATAZ
ATENOLOL 100 MG TAB,TENORMIN
ATENOLOL 25 MG TAB,TENORMIN
ATENOLOL 50 MG TAB,TENORMIN
ATORVASTATIN 10 MG TAB,LIPITOR
ATORVASTATIN 20 MG TAB,LIPITOR
ATORVASTATIN 40 MG TAB,LIPITOR
ATORVASTATIN 80 MG TAB,LIPITOR
ATOVAQUONE SUSP 750 MG/5 ML 210 ML BTL,MEPRON
ATOVAQUONE+PROGUANIL 250/100 MG TAB,MALARONE
ATRACURIUM INJ 10 MG/ML 10 ML VIAL,ATRACURIUM
ATROPINE 1% EYE DROPS 5 ML BTL,ISOPTO ATROPINE
ATROPINE INJ 0.4 MG/ML AMP,
ATROPINE INJ 0.5 MG/5 ML PFS,ATROPINE SULFATE LIFESHIELD
ATROPINE INJ 0.6 MG/ML AMP,
ATROPINE INJ 1 MG/10 ML PFS,ATROPINE SULFATE LIFESHIELD
ATROPINE INJ 1 MG/ML AMP,
ATTAPULGITE SUSP 600 MG/15 ML 250 ML BTL,KAOPECTATE
ATTAPULGITE SUSP 750 MG/15 ML 250 ML BTL,KAOPECTATE
AUROTHIOMALATE INJ 10 MG/ML AMP,MYOCHRYSINE
AUROTHIOMALATE INJ 25 MG/ML AMP,MYOCHRISINE
AUROTHIOMALATE INJ 50 MG/ML AMP,MYOCHRYSINE
AZACITIDINE 100 MG VIAL,VIDAZA
AZATHIOPRINE 12.5 MG PARTTAB,IMURAN
AZATHIOPRINE 25 MG PARTTAB,IMURAN
AZATHIOPRINE 50 MG TAB,IMURAN
AZATHIOPRINE INJ 50 MG VIAL,IMURAN
AZITHROMYCIN 250 MG TAB,ZITHROMAX
AZITHROMYCIN 600 MG TAB,ZITHROMAX
AZITHROMYCIN INJ 500 MG VIAL,ZITHROMAX
AZITHROMYCIN IV 250 MG/250 ML D5W BAG,ZITHROMAX
AZITHROMYCIN IV 500 MG/250 ML D5W MB.PLUS,ZITHROMAX
AZITHROMYCIN LIQ 100 MG/5 ML 15 ML BTL,ZITHROMAX
AZITHROMYCIN LIQ 200 MG/5 ML 15 ML BTL,ZITHROMAX
AZITHROMYCIN LIQ 200 MG/5 ML 22.5 ML BTL,ZITHROMAX
AZITHROMYCIN STD 250 MG TAB,ZITHROMAX
AZITHROMYCIN STD 250 MG TAB,ZITHROMAX
BACITRACIN 500 U/GM OINT 15 GM TUBE,BACITIN
BACITRACIN 500 U/GM OINT 3O GM TUBE,BACITIN
BACITRACIN 500 UNITS/GM OINT 450 GM GM,BACITIN
"BACITRACIN INJ 50,000 UNITS VIAL",BACITRACIN
BACITRACIN POWDER 5 GM BTL,
